"program","timeRelativeToO3"
"2dfir",1.02185785643
"adpcm",0.893479066321
"aha-compress",0.753776521727
"aha-mont64",6.13120814598
"bubblesort",1.19945115325
"cnt",0.801368759199
"compress",1.09658439218
"cover",1.02411271744
"crc32",0.94610903956
"ctl-stack",0.947047638893
"ctl-string",1.12523225334
"ctl-vector",1.66455045117
"dijkstra",1.11780238938
"dtoa",1.09817788943
"duff",0.51051985264
"edn",1.04801208668
"expint",0.975444160213
"fac",1.47899953718
"fasta",20.8126825393
"fdct",0.702762923351
"frac",1.02610135984
"insertsort",0.872196925605
"janne_complex",1.07372846269
"jfdctint",1.04981291375
"levenshtein",1.12303290415
"ludcmp",1.03037775489
"matmult-float",0.969648488221
"matmult-int",0.847351862926
"mergesort",1.51391193986
"minver",1.01578414029
"nbody",3.83956675554
"ndes",1.35694913149
"nettle-arcfour",0.723457398157
"nettle-cast128",0.898041661683
"nettle-des",1.20170798127
"nettle-md5",0.962025829899
"newlib-sqrt",0.89260543685
"nsichneu",1.03913362632
"prime",0.938472211105
"qrduino",1.11493571716
"qsort",0.950953755191
"qurt",0.996486867576
"recursion",1.69466365855
"rijndael",0.893093972652
"select",1.00236025776
"sglib-arraybinsearch",1.110642388
"sglib-arrayheapsort",1.40586203678
"sglib-arrayquicksort",1.0454106063
"sglib-queue",1.12981146897
"slre",1.12863704747
"sqrt",1.01256765323
"st",1.0108293481
"statemate",0.789895149793
"stringsearch1",1.14962427746
"strstr",0.982747370086
"tarai",1.03916654308
"trio-snprintf",1.02093474164
"trio-sscanf",1.02482474227
"ud",2.54487867006
"whetstone",1.89061282464
