"program","timeRelativeToO3"
"2dfir",1.0168143548
"adpcm",0.893449781659
"aha-compress",0.990947694603
"aha-mont64",6.13117732093
"bubblesort",0.773825750599
"cnt",0.904315781557
"compress",1.05247711342
"cover",0.963786942728
"crc32",0.946000959836
"ctl-stack",0.952593055664
"ctl-string",1.01107698851
"ctl-vector",1.50994778758
"dijkstra",1.11799188208
"dtoa",1.06346533735
"duff",0.561515056419
"edn",0.976180335848
"expint",0.975536240011
"fac",1.47650916104
"fasta",0.920461449781
"fdct",0.728432877526
"frac",1.02602826333
"insertsort",0.872143774069
"janne_complex",0.887837966944
"jfdctint",0.891108488529
"levenshtein",1.12307954352
"ludcmp",1.10432567911
"matmult-float",0.974851030613
"matmult-int",0.808618328682
"mergesort",1.35801344117
"minver",1.01572470178
"nbody",3.83935759638
"ndes",1.28935817805
"nettle-arcfour",0.769523005488
"nettle-cast128",0.92819605732
"nettle-des",1.0749602982
"nettle-md5",1.06645140878
"newlib-sqrt",0.892635177129
"nsichneu",1.03904447791
"prime",1.16499622037
"qrduino",1.0729330936
"qsort",0.960831244896
"qurt",0.909440726577
"recursion",1.28706398026
"rijndael",0.866155466333
"select",1.00251011539
"sglib-arraybinsearch",1.16356524989
"sglib-arrayheapsort",1.04320027379
"sglib-arrayquicksort",1.04536360571
"sglib-queue",1.12979157939
"slre",1.10505849029
"sqrt",1.01258045641
"st",1.05659249377
"statemate",0.830547550432
"stringsearch1",0.820475520703
"strstr",0.941381764973
"tarai",1.08132396121
"trio-snprintf",1.02998915401
"trio-sscanf",0.997250934682
"ud",2.54474251684
"whetstone",1.00047337278
