"program","timeRelativeToO3"
"2dfir",1.04290343964
"adpcm",1.32608983351
"aha-compress",0.957616720839
"aha-mont64",0.845471817606
"bubblesort",0.836578671039
"cnt",0.81567919541
"compress",1.09135399674
"cover",1.14637274549
"crc32",0.943166396346
"ctl-stack",1.27672988745
"ctl-string",1.17231283197
"ctl-vector",2.66502028576
"dijkstra",0.964384615385
"dtoa",1.13295280523
"duff",0.581654794072
"edn",0.843418210581
"expint",0.853748291452
"fac",1.224555922
"fasta",0.826735218509
"fdct",0.989386767422
"frac",1.05648177835
"insertsort",1.35380822762
"janne_complex",0.838222646918
"jfdctint",1.03068332278
"levenshtein",1.00674501788
"ludcmp",1.00294475541
"matmult-float",0.975742677582
"matmult-int",0.852444097764
"mergesort",1.25006102622
"minver",1.07369994331
"nbody",3.82823880969
"ndes",1.30333775054
"nettle-arcfour",0.873647828611
"nettle-cast128",1.062532048
"nettle-des",1.15504641517
"nettle-md5",0.976436795599
"newlib-sqrt",0.806200827771
"nsichneu",0.923959048273
"prime",1.1122672216
"qrduino",0.991321118611
"qsort",1.0356479135
"qurt",1.00537775759
"recursion",1.45829764898
"rijndael",0.895196722121
"select",1.01063789939
"sglib-arraybinsearch",1.15897168942
"sglib-arrayheapsort",0.999160134378
"sglib-arrayquicksort",1.00033713168
"sglib-queue",1.05859022187
"slre",0.982066117687
"sqrt",0.995830742786
"st",1.05546535775
"statemate",0.933954250349
"stringsearch1",0.78202682391
"strstr",0.890029369011
"tarai",1.07150166852
"trio-snprintf",1.0192401562
"trio-sscanf",0.997195876289
"ud",1.86382836071
"whetstone",1.46703946979
