"program","timeRelativeToO3"
"2dfir",1.01244522994
"adpcm",0.725283158675
"aha-compress",0.922068698347
"aha-mont64",1.04257727805
"bubblesort",0.829845632391
"cnt",0.994036105738
"compress",1.0468645242
"cover",1.10649512014
"crc32",0.943182946609
"ctl-stack",0.831331891948
"ctl-string",0.944628952059
"ctl-vector",0.849216844456
"dijkstra",0.988155972005
"dtoa",1.11962378954
"duff",0.777473033547
"edn",0.82847148289
"expint",0.899371895614
"fac",1.2543676964
"fasta",0.826279999065
"fdct",1.03571352785
"frac",0.998316813166
"insertsort",0.983618343347
"janne_complex",0.9569039656
"jfdctint",1.00814529127
"levenshtein",1.06185496781
"ludcmp",0.994695218396
"matmult-float",1.00092727821
"matmult-int",0.838329736616
"mergesort",1.01557389054
"minver",1.10652442795
"nbody",0.999035199651
"ndes",1.00521793146
"nettle-arcfour",0.763816709315
"nettle-cast128",0.958961345227
"nettle-des",0.999086577629
"nettle-md5",1.05485653095
"newlib-sqrt",0.807705929502
"nsichneu",1.05859475535
"prime",0.999893279261
"qrduino",0.997408623859
"qsort",1.01908945012
"qurt",0.991182374307
"recursion",1.50610328638
"rijndael",0.926794352848
"select",0.993782072892
"sglib-arraybinsearch",0.989028589733
"sglib-arrayheapsort",0.98343366466
"sglib-arrayquicksort",1.02390424815
"sglib-queue",1.0018848661
"slre",1.07272989127
"sqrt",0.995904786281
"st",0.995941558442
"statemate",1.00166858807
"stringsearch1",0.655877933187
"strstr",1.00059317258
"tarai",1.08114600943
"trio-snprintf",1.01659346022
"trio-sscanf",1.00626778277
"ud",2.41363590655
"whetstone",0.991628704964
